0,1,0,Let's play a game but before we start. Quick tutorial of how you should navigate. Press on the screen "yes" for yes and "no" for no.,Do you understand?
1,2,4,It’s year 1960 and you are in the Amazonian jungle. Eveyrthing what do you have is hope that you will get out of this jungle in one piece.,Do you try to find the way through the lianas?
2,3,6,In front of you the view from the dark jungle has shifted to a beautiful picture with the jungle filled with colorful flowers and amazing peaceful animals. You see a giant pink fruit hanging on the tree.,Are you climbing the tree?
3,8,7,When you’re on the top of the tree you have seen the gigantic jungle with your eyes- far far away you see dark smoke coming from among the trees there has to be something… ,Do you go towards the smoke?
4,2,5,Are you sure- that is the only way. ,Do you change your mind?
5,0,0,You're dead. Game over! To start a new game - navigate to the Menu and press the 'Start' button - otherwise press the 'Quit' button.,
6,11,10,You've passed the tree with the fruit without taking it and now you're starving. All you think about is hunger. In front of you - you see an enormously giant anaconda on the grass.,Are you talking to the snake?
7,9,10,When climbing off the tree- you’re taking some fruits for later. You’re in a good mood -and you have your azimuth. In front of you you see an enormously giant anaconda on the grass. The snake asks you what you have for her with a snakish accent. ,Have you got a fruit for the snake?
8,12,13,It's getting late - time too look for a camp to survive the night. There is a small dark cave - everything you need to do is to cross narrow but very deep river.,Are you going there?
9,21,18,Sss Thank you… Nowsss go straightss to the waterfall and find whatsss you have been looking for SSSsss. You're standing next to the waterfall the view is astonishing. Hopefully this is how the jungle will remain in the next century.  There's no other way than jumping to the waterfall as you see some village not far from the waterfall. ,Are you jumping?
10,14,15,The giant anaconda got upset when you just walked next to her- with no respect! There's something shiny under your legs. ,Are you picking this up?
11,0,0,The snake asks you what you have for her with a snakish accent. You start the conversation with the snake. Anaconda was talking and talking to you – you have been just looking straight into her eyes- when you've realized that she had entwined you. It was already too late. Now you are the fruit. You're dead. Game over! To start a new game - navigate to the Menu and press the 'Start' button - otherwise press the 'Quit' button.,-
12,22,16,You were thinking how you should cross the river- your first idea is to try your luck and believe that your legs are like Arnold's Shwazenegers.,Are you jumping?
13,17,16,It's really dark you don't know where you should go now. All you hear are the crickets - you've got that weird feeling that they're telling you something. ,Do you listen to them?
14,21,18,While picking up this shiny thing- the giant anaconda missed her attack and she went above you. - Now you know you need to run as you've just met your nemesis. You need to run. In front of you there's a huge waterfall. ,Are you jumping?
15,0,0,The anaconda attacked you from the behind when you showed her no respect while you been passing the shiny thing. You couldn't dodge that attack. You're dead. Game over! To start a new game - navigate to the Menu and press the 'Start' button - otherwise press the 'Quit' button.,-
16,19,17,You're collecting the fallen branches to build a camp. You've build the fire camp too. You hear the crickets telling you something. ,Are you falling asleep?
17,20,16,Delusional thoughts are appearing more often be very careful. They're telling you to follow the sounds. You are going after them. There's another hint from the crickets.,Do you listen to them?
18,0,0,Who's not risking is not drinking champagne. In this situation you should risk. Sss you've tasted better sss than my last mealsss. You're dead. Game over! To start a new game - navigate to the Menu and press the 'Start' button - otherwise press the 'Quit' button.,-
